ID	Nivel	Curso_Min	Titulo_Problema	Funciones	Tipos_Item	JSON_Reto	Fuente	Zona_Gris	Activo
LB_0001	medio	3E	¿Por qué a veces el que hace la acción va detrás del verbo?	Sujeto;NP	intruso;manipulacion;juicio;analisis_inverso;etiqueta_prueba	{"schema_version":"1.0","id":"LB_0001","nivel":"medio","titulo_problema":"¿Por qué a veces el que hace la acción va detrás del verbo?","corpus":["María trajo el libro.","Trajo María el libro."],"items":[{"tipo":"intruso","oraciones":["Trajo María el libro.","Llegó el paquete.","Compró Ana un regalo.","Ana compró un regalo temprano."],"respuesta":"Ana compró un regalo temprano.","feedback":"Las tres primeras empiezan por la acción y traen el que la hace justo detrás; la última rompe ese patrón: empieza por quien hace la acción."},{"tipo":"manipulacion","manipulacion":"mueve","oracion":"María trajo el libro.","objetivo":{"texto":"María","funcion":"Sujeto"},"opciones":[{"texto":"Trajo María el libro.","ok":true,"micro":"El orden cambia pero el que trae el libro sigue siendo el mismo: sigue funcionando."},{"texto":"María el libro trajo.","ok":false,"micro":"Este orden rompe la oración: en español no se coloca así."}]},{"tipo":"juicio","oracion":"Los alumnos llega tarde.","veredicto":"agramatical","causa":"concordancia_sv","opciones_causa":["concordancia_sv","transitividad","orden_imposible"],"gemela_correcta":"Los alumnos llegan tarde.","explicacion":"El verbo tiene que ir en el mismo número que el elemento que controla su forma: \"los alumnos\" es plural y \"llega\" está en singular.","fuente_id":"PM-SINT-02"},{"tipo":"analisis_inverso","consigna":"Construye una oración donde el que hace la acción aparezca detrás del verbo.","piezas":["Llegó","el paquete","ayer","contento"],"slots":[{"rol":"NP","acepta":["Llegó"]},{"rol":"Sujeto","acepta":["el paquete"]}],"fuente_id":"AI-SINT-08"},{"tipo":"etiqueta_prueba","oracion":"María trajo el libro.","objetivo":{"texto":"María","funcion":"Sujeto"},"prueba_id":"PRU-SINT-SUJ-01","distractores":["PRU-SINT-CD-01","HEUR-QUIEN"],"enunciado":"tecnico"}],"zona_gris":false,"metadatos":{"curso_min":"3E"}}	R-07 PM-SINT-01	FALSE	TRUE
LB_0002	medio	3E	¿Por qué a veces hay que cambiar dos palabras y no una sola?	Sujeto	que_cambia;manipulacion;juicio;etiqueta_prueba	{"schema_version":"1.0","id":"LB_0002","nivel":"medio","titulo_problema":"¿Por qué a veces hay que cambiar dos palabras y no una sola?","corpus":["La profesora explica la lección.","Las profesoras explican la lección."],"items":[{"tipo":"que_cambia","oracion_a":"La profesora explica la lección.","oracion_b":"Las profesoras explican la lección.","cambio":"La profesora → Las profesoras","opciones":[{"texto":"También ha cambiado la palabra que dice la acción.","ok":true,"micro":"Van juntos: si uno pasa a plural, el otro le sigue obligatoriamente."},{"texto":"No ha cambiado nada más.","ok":false,"micro":"Fíjate en 'explica' → 'explican': ha cambiado con él."}]},{"tipo":"manipulacion","manipulacion":"cambia_numero","oracion":"La profesora explica la lección.","objetivo":{"texto":"La profesora","funcion":"Sujeto"},"opciones":[{"texto":"Las profesoras explican la lección.","ok":true,"micro":"Al poner en plural quien hace la acción, el verbo cambia con él: \"explica\" pasa a \"explican\"."},{"texto":"Las profesoras explica la lección.","ok":false,"micro":"El verbo se ha quedado en singular y no puede: tiene que seguir al plural."}]},{"tipo":"juicio","oracion":"Los niños juega en el patio.","veredicto":"agramatical","causa":"concordancia_sv","opciones_causa":["concordancia_sv","transitividad"],"gemela_correcta":"Los niños juegan en el patio.","explicacion":"\"Los niños\" es plural, así que el verbo tiene que ir también en plural: \"juegan\", no \"juega\"."},{"tipo":"juicio","oracion":"Los alumnos llegaron temprano.","veredicto":"gramatical","explicacion":"El plural \"los alumnos\" y el plural \"llegaron\" van a juego: no hay nada que corregir."},{"tipo":"etiqueta_prueba","oracion":"Las profesoras explican la lección.","objetivo":{"texto":"Las profesoras","funcion":"Sujeto"},"prueba_id":"PRU-SINT-SUJ-01","distractores":["PRU-SINT-CD-01","HEUR-QUIEN","HEUR-COMO"],"enunciado":"tecnico"}],"zona_gris":false,"metadatos":{"origen_ud":"UD-D-3E-sint S3","curso_min":"3E"}}	R-07 PM-SINT-02	FALSE	TRUE
LB_0003	medio	3E	¿Tiene que aparecer siempre por escrito quien hace la acción?	Sujeto	que_cambia;manipulacion;juicio;etiqueta_prueba	{"schema_version":"1.0","id":"LB_0003","nivel":"medio","titulo_problema":"¿Tiene que aparecer siempre por escrito quien hace la acción?","corpus":["Pedro llegó tarde.","Llegué tarde."],"items":[{"tipo":"que_cambia","oracion_a":"Pedro llegó tarde.","oracion_b":"Llegué tarde.","cambio":"Pedro llegó → Llegué","opciones":[{"texto":"En la segunda ya no hace falta nombrar quién llega: el propio verbo ya lo dice.","ok":true,"micro":"La terminación \"-é\" ya avisa de que quien llega soy \"yo\"; por eso no hace falta escribirlo."},{"texto":"En la segunda ya no hay nadie que llegue.","ok":false,"micro":"Sigue habiendo alguien que llega: solo que no está escrito, porque el verbo ya lo indica."}]},{"tipo":"manipulacion","manipulacion":"suprime","oracion":"Pedro llegó tarde.","objetivo":{"texto":"Pedro","funcion":"Sujeto"},"opciones":[{"texto":"Sigue funcionando (queda \"Llegó tarde\").","ok":true,"micro":"La oración sigue en pie: el verbo ya lleva la marca de quién actúa, aunque no esté escrito."},{"texto":"El verbo queda cojo.","ok":false,"micro":"No es el caso aquí: el verbo no necesita nada más para funcionar."},{"texto":"Cambia de significado.","ok":false,"micro":"El significado no cambia: sigue hablando de la misma persona, ahora sin nombrarla."}]},{"tipo":"juicio","oracion":"Nosotros llegamos tarde ayer.","veredicto":"gramatical","explicacion":"\"Nosotros\" y \"llegamos\" concuerdan en persona y número: no hay error."},{"tipo":"juicio","oracion":"Vosotros llegó tarde.","veredicto":"agramatical","causa":"concordancia_sv","opciones_causa":["concordancia_sv","orden_imposible"],"gemela_correcta":"Vosotros llegasteis tarde.","explicacion":"\"Vosotros\" pide la persona \"vosotros\" del verbo; \"llegó\" está en otra persona distinta."},{"tipo":"etiqueta_prueba","oracion":"Llegué tarde.","objetivo":{"texto":"Llegué","funcion":"Sujeto"},"prueba_id":"PRU-SINT-SUJ-01","distractores":["HEUR-QUIEN","PRU-SINT-CD-01"],"enunciado":"simple"}],"zona_gris":false,"metadatos":{"curso_min":"3E"}}	R-07 PM-SINT-03	FALSE	TRUE
LB_0004	medio	3E	¿Qué pasa con el verbo cuando son dos los que hacen la acción?	Sujeto	que_cambia;manipulacion;juicio;etiqueta_prueba	{"schema_version":"1.0","id":"LB_0004","nivel":"medio","titulo_problema":"¿Qué pasa con el verbo cuando son dos los que hacen la acción?","corpus":["Ana canta.","Ana y Luis cantan."],"items":[{"tipo":"que_cambia","oracion_a":"Ana canta.","oracion_b":"Ana y Luis cantan.","cambio":"Ana → Ana y Luis","opciones":[{"texto":"El verbo pasa a plural porque ahora son dos.","ok":true,"micro":"Sumar a alguien más obliga al verbo a ir en plural, igual que si contáramos personas."},{"texto":"El verbo se queda igual.","ok":false,"micro":"Fíjate en 'canta' → 'cantan': si no cambiara, la oración quedaría rota."}]},{"tipo":"manipulacion","manipulacion":"sustituye","oracion":"Ana y Luis cantan.","objetivo":{"texto":"Ana y Luis","funcion":"Sujeto"},"opciones":[{"texto":"Ellos cantan.","ok":true,"micro":"El pronombre de varias personas, \"ellos\", ocupa el mismo lugar y mantiene el plural del verbo."},{"texto":"Él canta.","ok":false,"micro":"Un pronombre de una sola persona no puede sustituir a dos personas juntas."}]},{"tipo":"juicio","oracion":"Ana y Luis canta en el coro.","veredicto":"agramatical","causa":"concordancia_sv","opciones_causa":["concordancia_sv","transitividad"],"gemela_correcta":"Ana y Luis cantan en el coro.","explicacion":"Dos personas sumadas forman un plural, y el verbo tiene que seguirlo."},{"tipo":"etiqueta_prueba","oracion":"Ana y Luis cantan en el coro.","objetivo":{"texto":"Ana y Luis","funcion":"Sujeto"},"prueba_id":"PRU-SINT-SUJ-01","distractores":["HEUR-QUIEN","PRU-SINT-CC-01"],"enunciado":"tecnico"}],"zona_gris":false,"metadatos":{"curso_min":"3E"}}	R-07 PM-SINT-04	FALSE	TRUE
LB_0005	medio	3E	¿El que hace la acción siempre va al principio de la oración?	Sujeto	intruso;manipulacion;juicio;etiqueta_prueba	{"schema_version":"1.0","id":"LB_0005","nivel":"medio","titulo_problema":"¿El que hace la acción siempre va al principio de la oración?","corpus":["Los estudiantes trabajan en la biblioteca.","En la biblioteca trabajan muchos estudiantes."],"items":[{"tipo":"intruso","oraciones":["Los estudiantes trabajan en la biblioteca.","Los profesores corrigen exámenes.","Los alumnos entregan sus trabajos.","En la biblioteca trabajan muchos estudiantes."],"respuesta":"En la biblioteca trabajan muchos estudiantes.","feedback":"Las tres primeras empiezan por quien hace la acción; la última empieza por un dato de lugar y deja a quien actúa para el final."},{"tipo":"manipulacion","manipulacion":"cambia_numero","oracion":"En la biblioteca trabajan muchos estudiantes.","objetivo":{"texto":"muchos estudiantes","funcion":"Sujeto"},"opciones":[{"texto":"En la biblioteca trabaja mucho estudiante.","ok":false,"micro":"No es una forma natural: al poner esta palabra en singular hay que cambiar también el determinante (\"un estudiante\"), no solo el verbo."},{"texto":"En la biblioteca trabaja un estudiante.","ok":true,"micro":"Aunque esté al final, sigue siendo quien controla el verbo: al ponerlo en singular, el verbo le sigue."}]},{"tipo":"juicio","oracion":"En la biblioteca trabaja muchos estudiantes.","veredicto":"agramatical","causa":"concordancia_sv","opciones_causa":["concordancia_sv","orden_imposible"],"gemela_correcta":"En la biblioteca trabajan muchos estudiantes.","explicacion":"Aunque \"muchos estudiantes\" esté al final, sigue siendo la palabra que decide la forma del verbo: tiene que ir en plural."},{"tipo":"etiqueta_prueba","oracion":"En la biblioteca trabajan muchos estudiantes.","objetivo":{"texto":"muchos estudiantes","funcion":"Sujeto"},"prueba_id":"PRU-SINT-SUJ-01","distractores":["PRU-SINT-CC-01","HEUR-QUIEN"],"enunciado":"tecnico"}],"zona_gris":false,"metadatos":{"curso_min":"3E"}}	R-07 PM-SINT-05	FALSE	TRUE
LB_0006	medio	3E	¿Cambia algo si lo que recibe la acción es una persona?	CD;Sujeto;NP	que_cambia;manipulacion;juicio;analisis_inverso;etiqueta_prueba	{"schema_version":"1.0","id":"LB_0006","nivel":"medio","titulo_problema":"¿Cambia algo si lo que recibe la acción es una persona?","corpus":["Miriam lee el periódico.","Miriam llama a su hermano."],"items":[{"tipo":"que_cambia","oracion_a":"Miriam lee el periódico.","oracion_b":"Miriam llama a su hermano.","cambio":"el periódico → a su hermano","opciones":[{"texto":"Aparece una palabra nueva delante, porque ahora es una persona.","ok":true,"micro":"Cuando lo que recibe la acción es una persona concreta, en español se le antepone 'a'."},{"texto":"No cambia nada más que el significado.","ok":false,"micro":"Fíjate: aparece la palabra 'a' delante de 'su hermano' y no delante de 'el periódico'."}]},{"tipo":"manipulacion","manipulacion":"sustituye","oracion":"Miriam llama a su hermano.","objetivo":{"texto":"a su hermano","funcion":"CD"},"opciones":[{"texto":"Miriam lo llama.","ok":true,"micro":"Aunque lleve 'a' delante, sigue siendo lo que recibe la acción: se sustituye igual que 'el periódico'."},{"texto":"Miriam le llama.","ok":false,"micro":"Ese pronombre es el de otra función distinta; aquí lo que recibe la acción se sustituye por 'lo'."}]},{"tipo":"juicio","oracion":"Avisaron a la policía.","veredicto":"gramatical","explicacion":"La oración es correcta: quien recibe la acción de avisar es una persona (la policía), y por eso lleva \"a\" delante."},{"tipo":"analisis_inverso","consigna":"Construye una oración con quien hace la acción, seguido del verbo y de lo que recibe la acción.","piezas":["Miriam","lee","el periódico","ayer"],"slots":[{"rol":"Sujeto","acepta":["Miriam"]},{"rol":"NP","acepta":["lee"]},{"rol":"CD","acepta":["el periódico"]}],"fuente_id":"AI-SINT-01"},{"tipo":"etiqueta_prueba","oracion":"Miriam llama a su hermano.","objetivo":{"texto":"a su hermano","funcion":"CD"},"prueba_id":"PRU-SINT-CD-01","distractores":["HEUR-PREP-A","PRU-SINT-CI-01"],"enunciado":"tecnico"}],"zona_gris":false,"metadatos":{"curso_min":"3E"}}	R-07 PM-SINT-06	FALSE	TRUE
LB_0007	medio	3E	¿Puede una sola letra cambiar quién hace la acción y quién la recibe?	CD	que_cambia;manipulacion;juicio;par_minimo;etiqueta_prueba	{"schema_version":"1.0","id":"LB_0007","nivel":"medio","titulo_problema":"¿Puede una sola letra cambiar quién hace la acción y quién la recibe?","corpus":["Se detuvo el ladrón.","Se detuvo al ladrón."],"items":[{"tipo":"que_cambia","oracion_a":"Se detuvo el ladrón.","oracion_b":"Se detuvo al ladrón.","cambio":"el ladrón → al ladrón","opciones":[{"texto":"Cambia quién hace la acción y quién la recibe, no solo una palabra suelta.","ok":true,"micro":"Con 'el ladrón' es él quien se detiene solo; con 'al ladrón' es otro quien lo detiene a él."},{"texto":"Solo cambia una preposición, el resto sigue igual.","ok":false,"micro":"No es un cambio pequeño: con 'al' pasa de ser quien actúa a ser quien recibe la acción."}]},{"tipo":"manipulacion","manipulacion":"sustituye","oracion":"Se detuvo al ladrón.","objetivo":{"texto":"al ladrón","funcion":"CD"},"opciones":[{"texto":"Se lo detuvo.","ok":true,"micro":"Lo que recibe la acción se sustituye por 'lo', igual que cualquier otro caso de esta función."},{"texto":"Se le detuvo.","ok":false,"micro":"Ese pronombre corresponde a otra función; aquí lo que recibe la acción pide 'lo'."}]},{"tipo":"juicio","oracion":"Se detuvo el ladrón corriendo.","veredicto":"gramatical","explicacion":"La oración es correcta: \"el ladrón\" es quien hace la acción de detenerse él mismo."},{"tipo":"par_minimo","oracion_a":"Se detuvo el ladrón.","oracion_b":"Se detuvo al ladrón.","cambio":"el ladrón → al ladrón","opciones":[{"texto":"Sujeto → CD","ok":true,"micro":"Sin la 'a', 'el ladrón' es quien hace la acción; con 'al', pasa a ser quien la recibe."},{"texto":"CD → CI","ok":false,"micro":"Ninguna de las dos versiones tiene CI: aquí se juega entre quien actúa y quien recibe la acción."}],"fuente_id":"PM-SINT-07"},{"tipo":"etiqueta_prueba","oracion":"Se detuvo al ladrón.","objetivo":{"texto":"al ladrón","funcion":"CD"},"prueba_id":"PRU-SINT-CD-01","distractores":["HEUR-PREP-A","PRU-SINT-CI-01","HEUR-QUIEN"],"enunciado":"tecnico"}],"zona_gris":false,"metadatos":{"curso_min":"3E"}}	R-07 PM-SINT-07	FALSE	TRUE
LB_0008	medio	3E	¿Se puede confundir lo que se come con la cantidad que se come?	CD	que_cambia;manipulacion;juicio;etiqueta_prueba	{"schema_version":"1.0","id":"LB_0008","nivel":"medio","titulo_problema":"¿Se puede confundir lo que se come con la cantidad que se come?","corpus":["Marcos come pizza.","Marcos come mucho."],"items":[{"tipo":"que_cambia","oracion_a":"Marcos come pizza.","oracion_b":"Marcos come mucho.","cambio":"pizza → mucho","opciones":[{"texto":"Una nombra lo que se come; la otra dice solo cuánto, sin decir qué.","ok":true,"micro":"'Pizza' responde a qué come; 'mucho' no dice qué come, solo en qué cantidad."},{"texto":"Las dos dicen exactamente lo mismo con otras palabras.","ok":false,"micro":"'Mucho' no dice qué se come, solo cuánto: son informaciones distintas."}]},{"tipo":"manipulacion","manipulacion":"sustituye","oracion":"Marcos come pizza.","objetivo":{"texto":"pizza","funcion":"CD"},"opciones":[{"texto":"Marcos la come.","ok":true,"micro":"Lo que recibe la acción se sustituye por 'la'."},{"texto":"Marcos come mucho.","ok":false,"micro":"Esto no sustituye la palabra: cambia la pregunta de qué come a cuánto come."}]},{"tipo":"juicio","oracion":"Marcos comen pizza.","veredicto":"agramatical","causa":"concordancia_sv","opciones_causa":["concordancia_sv","transitividad"],"gemela_correcta":"Marcos come pizza.","explicacion":"\"Marcos\" es una sola persona y el verbo está en plural: no concuerdan."},{"tipo":"etiqueta_prueba","oracion":"Marcos come pizza.","objetivo":{"texto":"pizza","funcion":"CD"},"prueba_id":"PRU-SINT-CD-01","distractores":["PRU-SINT-CC-01","HEUR-QUIEN"],"enunciado":"tecnico"}],"zona_gris":false,"metadatos":{"curso_min":"3E"}}	R-07 PM-SINT-08	FALSE	TRUE
LB_0009	medio	3E	¿Todos los verbos aceptan que algo reciba su acción?	CD	que_cambia;manipulacion;juicio;etiqueta_prueba	{"schema_version":"1.0","id":"LB_0009","nivel":"medio","titulo_problema":"¿Todos los verbos aceptan que algo reciba su acción?","corpus":["Pedro limpió la casa.","Pedro salió temprano."],"items":[{"tipo":"que_cambia","oracion_a":"Pedro limpió la casa.","oracion_b":"Pedro salió temprano.","cambio":"limpió la casa → salió temprano","opciones":[{"texto":"El primer verbo admite algo detrás que recibe su acción; el segundo, no.","ok":true,"micro":"'Limpiar' pide algo que se limpie; 'salir' no admite ese tipo de complemento."},{"texto":"Los dos verbos funcionan exactamente igual.","ok":false,"micro":"Prueba a añadir detrás de 'salió' algo que reciba directamente la acción: no hay forma natural de hacerlo."}]},{"tipo":"manipulacion","manipulacion":"suprime","oracion":"Pedro limpió la casa.","objetivo":{"texto":"la casa","funcion":"CD"},"opciones":[{"texto":"El verbo queda cojo (queda \"Pedro limpió\", incompleto).","ok":true,"micro":"'Limpiar' pide casi siempre algo que se limpie: sin ello, la acción queda coja."},{"texto":"Sigue funcionando igual.","ok":false,"micro":"No es el caso: sin ese complemento, la oración se siente incompleta."},{"texto":"Cambia de significado.","ok":false,"micro":"No cambia de significado, sino que queda incompleta."}]},{"tipo":"juicio","oracion":"Pedro salió la casa.","veredicto":"agramatical","causa":"transitividad","opciones_causa":["transitividad","concordancia_sv","orden_imposible"],"gemela_correcta":"Pedro salió de la casa.","explicacion":"\"Salir\" no admite algo detrás que reciba directamente la acción: hace falta una preposición (\"de la casa\").","fuente_id":"PM-SINT-09"},{"tipo":"etiqueta_prueba","oracion":"Pedro limpió la casa.","objetivo":{"texto":"la casa","funcion":"CD"},"prueba_id":"PRU-SINT-CD-01","distractores":["PRU-SINT-CI-01","HEUR-QUIEN"],"enunciado":"tecnico"}],"zona_gris":false,"metadatos":{"curso_min":"3E"}}	R-07 PM-SINT-09	FALSE	TRUE
LB_0010	medio	3E	¿A dónde va lo que recibe la acción cuando le damos la vuelta a la oración?	CD	que_cambia;manipulacion;juicio;etiqueta_prueba	{"schema_version":"1.0","id":"LB_0010","nivel":"medio","titulo_problema":"¿A dónde va lo que recibe la acción cuando le damos la vuelta a la oración?","corpus":["El cocinero prepara el menú.","El menú es preparado por el cocinero."],"items":[{"tipo":"que_cambia","oracion_a":"El cocinero prepara el menú.","oracion_b":"El menú es preparado por el cocinero.","cambio":"El cocinero prepara el menú → El menú es preparado por el cocinero","opciones":[{"texto":"Lo que antes recibía la acción pasa a ir al principio y a controlar el verbo.","ok":true,"micro":"'El menú' pasa de recibir la acción a ir delante y decidir el número del verbo: 'es preparado'."},{"texto":"Todo sigue funcionando exactamente igual, solo cambia el orden.","ok":false,"micro":"No es solo orden: 'el menú' ahora controla la concordancia del verbo, antes no lo hacía."}]},{"tipo":"manipulacion","manipulacion":"transforma","oracion":"El cocinero prepara el menú.","objetivo":{"texto":"el menú","funcion":"CD"},"opciones":[{"texto":"El menú es preparado por el cocinero.","ok":true,"micro":"Lo que recibía la acción pasa a ir delante y el verbo cambia de forma: es la señal de que era ese elemento."},{"texto":"El cocinero es preparado por el menú.","ok":false,"micro":"Aquí se ha cambiado quién hace y quién recibe la acción, y el sentido queda al revés."}]},{"tipo":"juicio","oracion":"El menú son preparado por el cocinero.","veredicto":"agramatical","causa":"concordancia_sv","opciones_causa":["concordancia_sv","transitividad"],"gemela_correcta":"El menú es preparado por el cocinero.","explicacion":"\"El menú\" es singular y el verbo \"son\" está en plural: no concuerdan."},{"tipo":"etiqueta_prueba","oracion":"El cocinero prepara el menú.","objetivo":{"texto":"el menú","funcion":"CD"},"prueba_id":"PRU-SINT-CD-01","distractores":["PRU-SINT-CAG-01","HEUR-QUIEN"],"enunciado":"tecnico"}],"zona_gris":false,"metadatos":{"curso_min":"3E"}}	R-07 PM-SINT-10	FALSE	TRUE
